2.778666667,New Point
3.093333333,New Point
3.168000000,New Point
3.405333333,New Point
3.488000000,New Point
3.813333333,New Point
3.853333333,New Point
4.122666667,New Point
4.154666667,New Point
4.514666667,New Point
4.602666667,New Point
4.901333333,New Point
4.938666667,New Point
5.213333333,New Point
5.282666667,New Point
5.594666667,New Point
5.669333333,New Point
5.946666667,New Point
6.000000000,New Point
6.241875000,New Point
6.335625000,New Point
6.622500000,New Point
6.710625000,New Point
7.036875000,New Point
7.072500000,New Point
7.333125000,New Point
7.404375000,New Point
7.674375000,New Point
7.743750000,New Point
8.000625000,New Point
8.105625000,New Point
8.409375000,New Point
8.467500000,New Point
8.756000000,New Point
8.844000000,New Point
9.081333333,New Point
9.180000000,New Point
9.441333333,New Point
9.536000000,New Point
9.786666667,New Point
9.889333333,New Point
10.158666667,New Point
10.260000000,New Point
10.524000000,New Point
10.596000000,New Point
10.879687500,New Point
10.942500000,New Point
11.231250000,New Point
11.310000000,New Point
11.591250000,New Point
11.666250000,New Point
11.970000000,New Point
12.040000000,New Point
12.320000000,New Point
12.394666667,New Point
13.353750000,New Point
