2.842500000,New Point
3.160000000,New Point
3.192000000,New Point
3.464000000,New Point
3.542666667,New Point
3.835312500,New Point
3.897187500,New Point
4.186875000,New Point
4.245000000,New Point
4.518750000,New Point
4.584375000,New Point
4.850625000,New Point
4.923750000,New Point
5.165625000,New Point
5.272500000,New Point
5.386875000,New Point
5.730000000,New Point
5.981250000,New Point
6.046875000,New Point
6.251250000,New Point
6.363750000,New Point
6.624375000,New Point
6.710625000,New Point
6.991875000,New Point
7.068750000,New Point
7.305000000,New Point
7.421250000,New Point
7.685333333,New Point
7.781333333,New Point
8.056666667,New Point
8.121333333,New Point
8.349375000,New Point
8.480625000,New Point
8.746875000,New Point
8.826562500,New Point
9.114666667,New Point
9.165333333,New Point
9.398666667,New Point
9.513333333,New Point
10.505625000,New Point
